DESCRIPCION,CODIGO
YELLOW/WHITE,0840
ECRU/WINE,0841
WHITE/VERDE JADE,0842
GREEN/ROSE,0843
TURMERIC/ROSE,0844
TURMERIC/NUDE,0845
TURMERIC/POMEGRANATE,0846
TURMERIC/VERDE JADE,0847
ECRU/MORINGA/GREEN,0848
BABYBLUE/OFFWHITE,0849
RED/WHITE,0850
AZUL/BLANCO/VINOTINTO,0851
GRAY/PEACH,0852
GUAYABA,0853
MARIGOLD/IVORY,0854
VINOTINTO/BLANCO,0855
CHOCOLATE/ESMERALDA,0856
VERDE/CAFÉ,0857
BROWN/ECRU,0858
VERDE/ECRU,0859
WHITE/BROWN,0860
BLUE/BROWN,0861
IVORY/GRAY,0862
SALMON/ROJO,0863
PUNCH,0864
NAVY/RED,0865
OFF WHITE/GRAY,0866
RED/ROSE,0867
MARSALA/CAMEL,0868
GREEN/BROWN,0869
TURMERIC/SANGRIA,0870
CHOCOLATE/TERRACOTA,0871
COOPERTAN/CARAMEL/CHOCOLATE,0872
MORINGA/NUDE,0873
VANILLA/SOFT PEACH,0874
OFF WHITE/COPPERTAN,0875
EMERAL,0876
PEARL,0877
ROSE/OFF WHITE,0878
ECRU/MIDNIGHT BLUE,0879
MEN´S GRAY,0880
TEAL/IVORY,0881
WHITE/SALMON,0882
WHITE/ROSE,0883
WHITE/DANDELION,0884
WHITE/HUSBAND BLUE,0885
COCO DE MER/NUDE,0886
GRAY/ROSE,0887
AZUL CLARO/ROJO,0888
ECRU/MATCHA/LATTE,0889
SQUARED/MIDNIGHT/BLUE,0890
WHITE/NAVY,0891
VANILLA/CAMEL,0892
PEACH PARFAIT,0893
NAVY/ECRU,0894
SATIN,0895
ECRU/SALSA RED,0896
BLACK/DANDELION/GREEN,0897
CARMINE RED,0898
SOFT GREEN,0899
AZALEA,0900
WATERMELON,0901
ECRU/DIJON,0902
DEEPTERRACOTA/BLACK,0903
LYCHEEFIZZ/CHOCOLATE,0904
COSMICSAPPHIRE/BLACK,0905
ECRU/COSMIC SAPPIRE,0906
LYCHEE,0907
DISCO RED,0908
RAISIN,0909
PINK MIST/DIJON,0910
FIRE ORANGE,0911
ECRU/EGGPLANT,0912
PAPROKA RED,0913
PAPRIKA RED,0914
YELLOW LEMONADE,0915
SALSA RED,0916
NUDE/FRAMBUESA,0917
BLACK/MANGOLD,0918
BLACK/AFTERSALSA RED,0919
BLACK/SALSA RED,0920
NUDE WINE,0921
WITH BOW,0922
NUDE/BLACK,0923
LILA OCRE,0924
IVORY/MERLOT,0925
BURGUNDY/OFF WHITE,0926
BROWN/MAGENTA,0927
LIGTH GREEN,0928
WHITE SAGRIA,0929
CHOCOLATE/GREEN,0930
SCARF,0931
ORANGE/SALMON,0932
WHITE/LILAC,0933
AZUCENA,0934
MEDIANOCHE NAVY OLD ROSE,0935
