,,,,,,POR INGRESAR BD,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SENTIDO DE,,SESGOS,,,PERMITE GIRAR MOLDE,,TIPO DE RESTRICCION,,,,
,FOTO PRENDA,TIPO PRENDA,CANTIDAD DE TELAS,VARIANTE,TELA,,USO EN PRENDA,BASE TEXTIL,COLOR,ANCHO TELA,CONSUMO,DESCRIPCION,TERMINACION,MOLDES,CANAL DE TELA,AL HILO,A TRAVEZ,AL SESGO,90°,180°,PEINE,BRILLO / VIZOS,GRABADO,,
,,,2,1,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,5","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,54","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,56","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,SESGO FORRO,LYCRA TABITA,SOLIDO,"1,45","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,SESGO FORRO,LYCRA TABITA,SOLIDO,"1,48","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,SESGO FORRO,LYCRA TABITA,SOLIDO,"1,5","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,BIKINI BOTTOM - PANTY,2,2,1,,LUCIR,LYCRA CRINKLE,SOLIDO,"1,2","0,12",LUCIR Y FORRO (TIRAS EN LUCIR),EMBONADO,,,,,,,,,,,,
,,,2,2,1,,LUCIR,LYCRA VITA,SOLIDO,"1,45","0,1",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,SOLIDO,"1,46","0,1",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,SOLIDO,"1,48","0,09",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,SOLIDO,"1,5","0,09",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,45","0,13",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,46","0,13",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,48","0,12",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA VITA,ALL OVER CON SENTIDO,"1,5","0,12",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,SOLIDO,"1,42","0,1",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,SOLIDO,"1,46","0,1",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,SOLIDO,"1,48","0,09",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,SOLIDO,"1,5","0,09",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,SOLIDO,"1,51","0,09",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,SOLIDO,"1,53","0,09",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,ALL OVER CON SENTIDO,"1,42","0,13",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,ALL OVER CON SENTIDO,"1,46","0,13",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,ALL OVER CON SENTIDO,"1,48","0,12",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,ALL OVER CON SENTIDO,"1,5","0,12",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,ALL OVER CON SENTIDO,"1,51","0,12",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA SUMATRA,ALL OVER CON SENTIDO,"1,53","0,12",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,48","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,5","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,54","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,SOLIDO,"1,56","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,48","0,12",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,5","0,12",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,54","0,12",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,56","0,12",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,2,1,,SESGO LUCIR,LYCRA VITA,SOLIDO,"1,45","0,04",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
,,,2,2,1,,SESGO LUCIR,LYCRA VITA,SOLIDO,"1,46","0,04",,,A TRAVEZ,A TRAVEZ,SI,,,SI,NO,NO,NO,,,
